Cost (Dollars),Quantity (g),Product Key,Date Key,Location Key
5.41,500.0,1,18,66
5.64,500.0,1,19,67
5.49,500.0,1,19,68
5.64,500.0,1,19,69
5.4,500.0,1,19,70
5.51,500.0,1,19,71
5.78,500.0,1,19,72
5.52,500.0,1,19,73
5.79,500.0,1,19,74
5.56,500.0,1,19,75
5.93,500.0,1,19,76
5.83,500.0,1,19,77
6.18,500.0,1,20,67
5.94,500.0,1,20,68
5.98,500.0,1,20,69
5.95,500.0,1,20,70
6.1,500.0,1,20,71
6.13,500.0,1,20,72
6.17,500.0,1,20,73
6.3,500.0,1,20,74
5.77,500.0,1,20,75
6.37,500.0,1,20,76
6.38,500.0,1,20,77
6.12,500.0,1,21,67
6.06,500.0,1,21,68
5.95,500.0,1,21,69
5.85,500.0,1,21,70
6.03,500.0,1,21,71
5.86,500.0,1,21,72
6.39,500.0,1,21,73
6.08,500.0,1,21,74
5.44,500.0,1,21,75
6.03,500.0,1,21,76
6.1,500.0,1,21,77
5.77,500.0,1,22,78
5.52,500.0,1,22,79
5.25,500.0,1,22,80
5.41,500.0,1,22,81
5.37,500.0,1,22,82
5.57,500.0,1,22,83
5.69,500.0,1,22,84
5.98,500.0,1,22,85
5.86,500.0,1,22,86
6.29,500.0,1,22,87
6.24,500.0,1,22,88
5.88,500.0,1,23,78
5.45,500.0,1,23,79
5.59,500.0,1,23,80
5.69,500.0,1,23,81
5.85,500.0,1,23,82
5.89,500.0,1,23,83
5.65,500.0,1,23,84
6.15,500.0,1,23,85
5.97,500.0,1,23,86
6.46,500.0,1,23,87
6.3,500.0,1,23,88
5.81,500.0,1,24,78
5.29,500.0,1,24,79
5.1,500.0,1,24,80
5.21,500.0,1,24,81
5.31,500.0,1,24,82
5.51,500.0,1,24,83
5.76,500.0,1,24,84
6.33,500.0,1,24,85
5.94,500.0,1,24,86
6.51,500.0,1,24,87
6.38,500.0,1,24,88
6.28,500.0,1,25,89
5.36,500.0,1,25,90
5.5,500.0,1,25,91
5.59,500.0,1,25,92
5.84,500.0,1,25,93
6.98,500.0,1,25,94
6.25,500.0,1,25,95
6.38,500.0,1,25,96
6.03,500.0,1,25,97
6.53,500.0,1,25,98
6.39,500.0,1,25,99
5.78,500.0,1,26,89
5.63,500.0,1,26,90
5.63,500.0,1,26,91
5.69,500.0,1,26,92
5.75,500.0,1,26,93
5.07,500.0,1,26,94
5.86,500.0,1,26,95
6.05,500.0,1,26,96
5.93,500.0,1,26,97
6.36,500.0,1,26,98
6.24,500.0,1,26,99
5.55,500.0,1,27,89
5.25,500.0,1,27,90
4.96,500.0,1,27,91
4.92,500.0,1,27,92
5.09,500.0,1,27,93
5.81,500.0,1,27,94
5.41,500.0,1,27,95
5.85,500.0,1,27,96
5.46,500.0,1,27,97
6.03,500.0,1,27,98
6.1,500.0,1,27,99
5.7,500.0,1,28,100
4.86,500.0,1,28,101
4.88,500.0,1,28,102
5.04,500.0,1,28,103
5.12,500.0,1,28,104
5.32,500.0,1,28,105
5.89,500.0,1,28,106
5.83,500.0,1,28,107
5.66,500.0,1,28,108
6.26,500.0,1,28,109
6.26,500.0,1,28,110
5.58,500.0,1,29,100
5.51,500.0,1,29,101
5.0,500.0,1,29,102
5.23,500.0,1,29,103
5.29,500.0,1,29,104
5.68,500.0,1,29,105
5.44,500.0,1,29,106
5.56,500.0,1,29,107
5.53,500.0,1,29,108
5.94,500.0,1,29,109
5.96,500.0,1,29,110
5.86,500.0,1,30,100
5.42,500.0,1,30,101
5.55,500.0,1,30,102
5.7,500.0,1,30,103
5.79,500.0,1,30,104
5.56,500.0,1,30,105
5.84,500.0,1,30,106
6.07,500.0,1,30,107
5.87,500.0,1,30,108
6.21,500.0,1,30,109
6.19,500.0,1,30,110
5.82,500.0,1,31,111
5.94,500.0,1,31,112
5.72,500.0,1,31,113
5.5,500.0,1,31,114
5.78,500.0,1,31,115
6.19,500.0,1,31,116
5.77,500.0,1,31,117
5.13,500.0,1,31,118
5.71,500.0,1,31,119
6.15,500.0,1,31,120
5.73,500.0,1,31,121
5.84,500.0,1,32,111
5.77,500.0,1,32,112
6.14,500.0,1,32,113
6.09,500.0,1,32,114
6.22,500.0,1,32,115
5.43,500.0,1,32,116
5.93,500.0,1,32,117
5.79,500.0,1,32,118
5.6,500.0,1,32,119
5.95,500.0,1,32,120
5.85,500.0,1,32,121
6.04,500.0,1,33,111
5.97,500.0,1,33,112
5.8,500.0,1,33,113
5.95,500.0,1,33,114
6.05,500.0,1,33,115
5.91,500.0,1,33,116
6.02,500.0,1,33,117
6.1,500.0,1,33,118
5.66,500.0,1,33,119
6.24,500.0,1,33,120
6.29,500.0,1,33,121
5.4,500.0,1,34,122
5.2,500.0,1,34,123
5.23,500.0,1,34,124
5.22,500.0,1,34,125
5.45,500.0,1,34,126
5.77,500.0,1,34,127
4.98,500.0,1,34,128
5.68,500.0,1,34,129
5.58,500.0,1,34,130
6.09,500.0,1,34,131
5.97,500.0,1,34,132
